sample_id	bam_path	total_reads_in_bam	mapq20_reads	mapq20_pct	proper_pair_reads	proper_pair_pct	avg_depth_q20	breadth_1x_q20	breadth_5x_q20	breadth_10x_q20	note
DSW_AACO	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AACO.sorted.bam	1045190	703906	67.3472	1030368	98.5819	508.290042	0.706556	0.698637	0.693093	MAPPED_ONLY_BAM
DSW_AAAV	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AAAV.sorted.bam	316799	207711	65.5655	304424	96.0937	154.788052	0.708923	0.697796	0.690476	MAPPED_ONLY_BAM
DSW_AACP	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AACP.sorted.bam	1149904	788458	68.5673	1137369	98.9099	523.973379	0.701435	0.694420	0.691921	MAPPED_ONLY_BAM
DSW_AAAW	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AAAW.sorted.bam	1115292	768179	68.8769	1100139	98.6413	517.625938	0.707609	0.698538	0.694719	MAPPED_ONLY_BAM
DBR_ADA	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_ADA.sorted.bam	718603	488784	68.0186	712448	99.1435	240.916243	0.691068	0.686165	0.684414	MAPPED_ONLY_BAM
DSW_AACW	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AACW.sorted.bam	900586	581240	64.5402	886186	98.4010	434.990374	0.712394	0.703653	0.698644	MAPPED_ONLY_BAM
DBR_AEM	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_AEM.sorted.bam	1099530	744517	67.7123	1088474	98.9945	467.448848	0.693990	0.686738	0.684695	MAPPED_ONLY_BAM
DBR_AEE	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_AEE.sorted.bam	1268849	890917	70.2146	1259541	99.2664	412.555763	0.691498	0.685523	0.683866	MAPPED_ONLY_BAM
DBR_AFY	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_AFY.sorted.bam	2687665	1777145	66.1223	2651629	98.6592	1527.171963	0.715976	0.707385	0.703665	MAPPED_ONLY_BAM
DSW_AAAX	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AAAX.sorted.bam	1045089	710584	67.9927	1029963	98.5527	490.102410	0.704787	0.697516	0.692731	MAPPED_ONLY_BAM
DBR_AFT	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_AFT.sorted.bam	3119946	2070202	66.3538	3085430	98.8937	1731.571170	0.712319	0.703715	0.701211	MAPPED_ONLY_BAM
DBR_AFX	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_AFX.sorted.bam	1993286	1338351	67.1429	1957280	98.1936	1196.743077	0.719097	0.709733	0.705802	MAPPED_ONLY_BAM
DSW_AAAY	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AAAY.sorted.bam	640461	450883	70.3998	632723	98.7918	240.552218	0.701323	0.691448	0.687560	MAPPED_ONLY_BAM
DBR_ADC	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_ADC.sorted.bam	1530796	1039987	67.9377	1514638	98.9445	774.325454	0.698451	0.690327	0.688433	MAPPED_ONLY_BAM
DSW_AABX	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AABX.sorted.bam	2864847	1866802	65.1624	2825831	98.6381	1575.829812	0.721695	0.713845	0.710188	MAPPED_ONLY_BAM
DBR_AET	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_AET.sorted.bam	2873778	1853447	64.4951	2836156	98.6909	1430.184187	0.708151	0.696837	0.694769	MAPPED_ONLY_BAM
DSW_AAAQ	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AAAQ.sorted.bam	3041934	1972445	64.8418	3014204	99.0884	1690.121780	0.720138	0.712998	0.709254	MAPPED_ONLY_BAM
DBR_AGL	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_AGL.sorted.bam	3154749	1974290	62.5815	3116498	98.7875	1695.521347	0.725358	0.711795	0.707802	MAPPED_ONLY_BAM
DSW_AAAZ	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AAAZ.sorted.bam	890992	610750	68.5472	878627	98.6122	403.370760	0.702643	0.695684	0.691616	MAPPED_ONLY_BAM
DSW_AABM	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AABM.sorted.bam	3477357	2263167	65.0830	3446611	99.1158	1941.593262	0.719103	0.711752	0.707434	MAPPED_ONLY_BAM
DBR_AFZ	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_AFZ.sorted.bam	1744995	1146979	65.7296	1719089	98.5154	973.435783	0.714144	0.702974	0.698613	MAPPED_ONLY_BAM
DBR_AER	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_AER.sorted.bam	2360640	1531519	64.8773	2332047	98.7888	1216.575649	0.707983	0.697061	0.693971	MAPPED_ONLY_BAM
DBR_AFF	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_AFF.sorted.bam	3633566	2332615	64.1963	3599563	99.0642	2027.861561	0.720287	0.710045	0.707023	MAPPED_ONLY_BAM
DSW_AAAA	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AAAA.sorted.bam	2484659	1606617	64.6615	2457637	98.9124	1331.197008	0.720711	0.713415	0.708855	MAPPED_ONLY_BAM
DSW_AADB	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AADB.sorted.bam	2957435	1881975	63.6354	2928735	99.0296	1605.666671	0.721845	0.715016	0.709409	MAPPED_ONLY_BAM
DBR_ADI	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_ADI.sorted.bam	5185804	3376948	65.1191	5140781	99.1318	2929.149822	0.729333	0.710792	0.706487	MAPPED_ONLY_BAM
DBR_ADD	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DBR_ADD.sorted.bam	1349943	916907	67.9219	1334130	98.8286	672.301363	0.700002	0.695348	0.690713	MAPPED_ONLY_BAM
DSW_AABA	/home/jbonnier/work/chapitre_5/full_workflow_chloroplastic/03-alignment/workflow_full/alignments/DSW_AABA.sorted.bam	961625	662326	68.8757	948597	98.6452	445.239734	0.703715	0.695983	0.692569	MAPPED_ONLY_BAM
