Sample	Unique Reads	Duplicate Reads
DBR_ACWOSDA_2_1_HNWVMDSX3.UDI007_clean	20867273.0	7379494.0
DBR_ACWOSDA_2_2_HNWVMDSX3.UDI007_clean	21456936.0	6789831.0
DBR_ACXOSDA_2_1_HNWVMDSX3.UDI008_clean	24479728.0	7552473.0
DBR_ACXOSDA_2_2_HNWVMDSX3.UDI008_clean	24890528.0	7141673.0
DBR_ACYOSDA_2_1_HNWVMDSX3.UDI011_clean	20998848.0	7365043.0
DBR_ACYOSDA_2_2_HNWVMDSX3.UDI011_clean	21261224.0	7102667.0
DBR_ACZOSDA_2_1_HNWVMDSX3.UDI041_clean	16669310.0	5002753.0
DBR_ACZOSDA_2_2_HNWVMDSX3.UDI041_clean	16819206.0	4852857.0
DBR_ADAOSDA_2_1_HNWVMDSX3.UDI042_clean	21234964.0	6289062.0
DBR_ADAOSDA_2_2_HNWVMDSX3.UDI042_clean	21504392.0	6019634.0
DBR_ADBOSDA_2_1_HNWVMDSX3.UDI009_clean	23842863.0	8188315.0
DBR_ADBOSDA_2_2_HNWVMDSX3.UDI009_clean	24687979.0	7343199.0
DBR_ADCOSDA_2_1_HNWVMDSX3.UDI043_clean	16631149.0	5508317.0
DBR_ADCOSDA_2_2_HNWVMDSX3.UDI043_clean	16865286.0	5274180.0
DBR_ADDOSDA_2_1_HNWVMDSX3.UDI044_clean	19862167.0	6954006.0
DBR_ADDOSDA_2_2_HNWVMDSX3.UDI044_clean	20281513.0	6534660.0
DBR_ADEOSDA_2_1_HNWVMDSX3.UDI012_clean	15757865.0	4842611.0
DBR_ADEOSDA_2_2_HNWVMDSX3.UDI012_clean	15861719.0	4738757.0
DBR_ADFOSDA_2_1_HNWVMDSX3.UDI013_clean	22095752.0	8103834.0
DBR_ADFOSDA_2_2_HNWVMDSX3.UDI013_clean	22726568.0	7473018.0
DBR_ADGOSDA_2_1_HNWVMDSX3.UDI045_clean	23099004.0	6891595.0
DBR_ADGOSDA_2_2_HNWVMDSX3.UDI045_clean	23619031.0	6371568.0
DBR_ADHOSDA_2_1_HNWVMDSX3.UDI046_clean	24708495.0	6837090.0
DBR_ADHOSDA_2_2_HNWVMDSX3.UDI046_clean	25033365.0	6512220.0
DBR_ADIOSDA_2_1_HNWVMDSX3.UDI014_clean	28069861.0	11701918.0
DBR_ADIOSDA_2_2_HNWVMDSX3.UDI014_clean	28980796.0	10790983.0
DBR_ADJOSDA_2_1_HNWVMDSX3.UDI047_clean	19667935.0	5271786.0
DBR_ADJOSDA_2_2_HNWVMDSX3.UDI047_clean	19928787.0	5010934.0
DBR_ADKOSDA_2_1_HNWVMDSX3.UDI015_clean	20328724.0	7990295.0
DBR_ADKOSDA_2_2_HNWVMDSX3.UDI015_clean	20703493.0	7615526.0
DBR_ADLOSDA_2_1_HNWVMDSX3.UDI001_clean	26366340.0	8545788.0
DBR_ADLOSDA_2_2_HNWVMDSX3.UDI001_clean	26668867.0	8243261.0
DBR_ADMOSDA_2_1_HNWVMDSX3.UDI048_clean	24637957.0	9713844.0
DBR_ADMOSDA_2_2_HNWVMDSX3.UDI048_clean	25170772.0	9181029.0
DBR_ADNOSDA_2_1_HNWVMDSX3.UDI049_clean	17484017.0	5322731.0
DBR_ADNOSDA_2_2_HNWVMDSX3.UDI049_clean	17633556.0	5173192.0
DBR_ADOOSDA_2_1_HNWVMDSX3.UDI050_clean	25960865.0	8839474.0
DBR_ADOOSDA_2_2_HNWVMDSX3.UDI050_clean	26414291.0	8386048.0
DBR_ADPOSDA_2_1_HNWVMDSX3.UDI016_clean	19760834.0	6304987.0
DBR_ADPOSDA_2_2_HNWVMDSX3.UDI016_clean	19970901.0	6094920.0
DBR_ADQOSDA_2_1_HNWVMDSX3.UDI017_clean	18330281.0	5554493.0
DBR_ADQOSDA_2_2_HNWVMDSX3.UDI017_clean	18518417.0	5366357.0
DBR_ADROSDA_2_1_HNWVMDSX3.UDI094_clean	32684334.0	12623174.0
DBR_ADROSDA_2_2_HNWVMDSX3.UDI094_clean	33616696.0	11690812.0
DBR_ADSOSDA_2_1_HNWVMDSX3.UDI051_clean	20330039.0	6721274.0
DBR_ADSOSDA_2_2_HNWVMDSX3.UDI051_clean	20997341.0	6053972.0
DBR_ADTOSDA_2_1_HNWVMDSX3.UDI052_clean	32019764.0	9578363.0
DBR_ADTOSDA_2_2_HNWVMDSX3.UDI052_clean	32354048.0	9244079.0
DBR_ADUOSDA_2_1_HNWVMDSX3.UDI053_clean	27530526.0	8219188.0
DBR_ADUOSDA_2_2_HNWVMDSX3.UDI053_clean	27961946.0	7787768.0
DBR_ADVOSDA_2_1_HNWVMDSX3.UDI010_clean	18327630.0	6377491.0
DBR_ADVOSDA_2_2_HNWVMDSX3.UDI010_clean	18419830.0	6285291.0
DBR_ADWOSDA_2_1_HNWVMDSX3.UDI018_clean	26551177.0	8017306.0
DBR_ADWOSDA_2_2_HNWVMDSX3.UDI018_clean	26836015.0	7732468.0
DBR_ADXOSDA_2_1_HNWVMDSX3.UDI054_clean	21417022.0	8526564.0
DBR_ADXOSDA_2_2_HNWVMDSX3.UDI054_clean	22875428.0	7068158.0
DBR_ADYOSDA_2_1_HNWVMDSX3.UDI055_clean	42169368.0	15267285.0
DBR_ADYOSDA_2_2_HNWVMDSX3.UDI055_clean	43177597.0	14259056.0
DBR_ADZOSDA_2_1_HNWVMDSX3.UDI056B_clean	35999289.0	12742729.0
DBR_ADZOSDA_2_2_HNWVMDSX3.UDI056B_clean	36614308.0	12127710.0
DBR_AEAOSDA_2_1_HNWVMDSX3.UDI003_clean	21959608.0	6459905.0
DBR_AEAOSDA_2_2_HNWVMDSX3.UDI003_clean	22390869.0	6028644.0
DBR_AEBOSDA_2_1_HNWVMDSX3.UDI057_clean	23022630.0	8755077.0
DBR_AEBOSDA_2_2_HNWVMDSX3.UDI057_clean	24038374.0	7739333.0
DBR_AECOSDA_2_1_HNWVMDSX3.UDI058_clean	23610306.0	9334974.0
DBR_AECOSDA_2_2_HNWVMDSX3.UDI058_clean	24307361.0	8637919.0
DBR_AEDOSDA_2_1_HNWVMDSX3.UDI059_clean	25944570.0	7311257.0
DBR_AEDOSDA_2_2_HNWVMDSX3.UDI059_clean	26227209.0	7028618.0
DBR_AEEOSDA_2_1_HNWVMDSX3.UDI060_clean	27620446.0	8733223.0
DBR_AEEOSDA_2_2_HNWVMDSX3.UDI060_clean	27999416.0	8354253.0
DBR_AEFOSDA_2_1_HNWVMDSX3.UDI061_clean	25925508.0	9675395.0
DBR_AEFOSDA_2_2_HNWVMDSX3.UDI061_clean	26803703.0	8797200.0
DBR_AEGOSDA_2_1_HNWVMDSX3.UDI004_clean	16539542.0	4679252.0
DBR_AEGOSDA_2_2_HNWVMDSX3.UDI004_clean	16714578.0	4504216.0
DBR_AEHOSDA_2_1_HNWVMDSX3.UDI019_clean	44817540.0	18349017.0
DBR_AEHOSDA_2_2_HNWVMDSX3.UDI019_clean	45825700.0	17340857.0
DBR_AEIOSDA_2_1_HNWVMDSX3.UDI062_clean	27490380.0	8470073.0
DBR_AEIOSDA_2_2_HNWVMDSX3.UDI062_clean	27943329.0	8017124.0
DBR_AEJOSDA_2_1_HNWVMDSX3.UDI063_clean	19098669.0	7009108.0
DBR_AEJOSDA_2_2_HNWVMDSX3.UDI063_clean	19615807.0	6491970.0
DBR_AEKOSDA_2_1_HNWVMDSX3.UDI005_clean	33326741.0	11484246.0
DBR_AEKOSDA_2_2_HNWVMDSX3.UDI005_clean	34022891.0	10788096.0
DBR_AELOSDA_2_1_HNWVMDSX3.UDI064_clean	21106351.0	6749133.0
DBR_AELOSDA_2_2_HNWVMDSX3.UDI064_clean	21569920.0	6285564.0
DBR_AEMOSDA_2_1_HNWVMDSX3.UDI065_clean	20479566.0	5984185.0
DBR_AEMOSDA_2_2_HNWVMDSX3.UDI065_clean	20759926.0	5703825.0
DBR_AENOSDA_2_1_HNWVMDSX3.UDI066_clean	17724527.0	5240250.0
DBR_AENOSDA_2_2_HNWVMDSX3.UDI066_clean	17955230.0	5009547.0
DBR_AEOOSDA_2_1_HNWVMDSX3.UDI020_clean	30869769.0	14617493.0
