Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
DBR_ACWOSDA_2_1_HNWVMDSX3.UDI007_clean	26.12509561183481	37.0	146.3069457116986	151	0.0	28246767.0
DBR_ACWOSDA_2_2_HNWVMDSX3.UDI007_clean	24.03755224597704	37.0	147.2315741833393	151	0.0	28246767.0
DBR_ACXOSDA_2_1_HNWVMDSX3.UDI008_clean	23.577754724086603	37.0	144.34881589935077	151	0.0	32032201.0
DBR_ACXOSDA_2_2_HNWVMDSX3.UDI008_clean	22.29529550821377	37.0	145.48098764739893	151	0.0	32032201.0
DBR_ACYOSDA_2_1_HNWVMDSX3.UDI011_clean	25.966267696299667	38.0	139.84929419591973	151	0.0	28363891.0
DBR_ACYOSDA_2_2_HNWVMDSX3.UDI011_clean	25.04123162002672	38.0	140.14822493853188	151	0.0	28363891.0
DBR_ACZOSDA_2_1_HNWVMDSX3.UDI041_clean	23.08388336695677	36.0	141.87542191991596	151	0.0	21672063.0
DBR_ACZOSDA_2_2_HNWVMDSX3.UDI041_clean	22.392227337359984	36.0	141.7537843536169	151	0.0	21672063.0
DBR_ADAOSDA_2_1_HNWVMDSX3.UDI042_clean	22.849355160194463	37.0	136.4271075387009	151	0.0	27524026.0
DBR_ADAOSDA_2_2_HNWVMDSX3.UDI042_clean	21.870471439583582	37.0	137.50785292093533	151	0.0	27524026.0
DBR_ADBOSDA_2_1_HNWVMDSX3.UDI009_clean	25.563579230432694	37.0	142.17794812291947	151	0.0	32031178.0
DBR_ADBOSDA_2_2_HNWVMDSX3.UDI009_clean	22.925162181081888	37.0	143.15284639234935	151	0.0	32031178.0
DBR_ADCOSDA_2_1_HNWVMDSX3.UDI043_clean	24.880082412392568	36.0	139.5351771808769	151	0.0	22139466.0
DBR_ADCOSDA_2_2_HNWVMDSX3.UDI043_clean	23.82252708998378	36.0	140.51664154862632	151	0.0	22139466.0
DBR_ADDOSDA_2_1_HNWVMDSX3.UDI044_clean	25.932137140904956	36.0	143.5660607872719	151	0.0	26816173.0
DBR_ADDOSDA_2_2_HNWVMDSX3.UDI044_clean	24.368356819470833	36.0	144.52243517372892	151	0.0	26816173.0
DBR_ADEOSDA_2_1_HNWVMDSX3.UDI012_clean	23.507281581022696	35.0	137.07168640180936	151	0.0	20600476.0
DBR_ADEOSDA_2_2_HNWVMDSX3.UDI012_clean	23.003146623252107	35.0	137.9884919164004	151	0.0	20600476.0
DBR_ADFOSDA_2_1_HNWVMDSX3.UDI013_clean	26.834256645338712	37.0	145.69694687205316	151	0.0	30199586.0
DBR_ADFOSDA_2_2_HNWVMDSX3.UDI013_clean	24.745433178718315	37.0	146.7331173347873	151	0.0	30199586.0
DBR_ADGOSDA_2_1_HNWVMDSX3.UDI045_clean	22.979184675472794	37.0	136.75137785677438	151	0.0	29990599.0
DBR_ADGOSDA_2_2_HNWVMDSX3.UDI045_clean	21.245219971457956	37.0	137.71142000198128	151	0.0	29990599.0
DBR_ADHOSDA_2_1_HNWVMDSX3.UDI046_clean	21.673683410675665	37.0	133.54201844727243	151	0.0	31545585.0
DBR_ADHOSDA_2_2_HNWVMDSX3.UDI046_clean	20.64384172113388	37.0	134.57624713569268	151	0.0	31545585.0
DBR_ADIOSDA_2_1_HNWVMDSX3.UDI014_clean	29.422667526060906	36.0	145.87408089037203	151	0.0	39771779.0
DBR_ADIOSDA_2_2_HNWVMDSX3.UDI014_clean	27.132263657811833	37.0	146.65971469367764	151	0.0	39771779.0
DBR_ADJOSDA_2_1_HNWVMDSX3.UDI047_clean	21.138113089034633	38.0	129.2714929329001	147	0.0	24939721.0
DBR_ADJOSDA_2_2_HNWVMDSX3.UDI047_clean	20.09218151047959	38.0	130.38506096359296	147	0.0	24939721.0
DBR_ADKOSDA_2_1_HNWVMDSX3.UDI015_clean	28.215297356848353	36.0	145.41271390792173	151	0.0	28319019.0
DBR_ADKOSDA_2_2_HNWVMDSX3.UDI015_clean	26.891914774664954	36.0	146.3266784064801	151	0.0	28319019.0
DBR_ADLOSDA_2_1_HNWVMDSX3.UDI001_clean	24.477994204266466	37.0	130.69360077392017	151	0.0	34912128.0
DBR_ADLOSDA_2_2_HNWVMDSX3.UDI001_clean	23.6114549762315	37.0	131.58956669728067	151	0.0	34912128.0
DBR_ADMOSDA_2_1_HNWVMDSX3.UDI048_clean	28.277539718000554	38.0	146.55027694181157	151	0.0	34351801.0
DBR_ADMOSDA_2_2_HNWVMDSX3.UDI048_clean	26.726486593145665	38.0	146.6129062927443	151	0.0	34351801.0
DBR_ADNOSDA_2_1_HNWVMDSX3.UDI049_clean	23.33840796514579	37.0	123.4354507271269	137	0.0	22806748.0
DBR_ADNOSDA_2_2_HNWVMDSX3.UDI049_clean	22.682729288764335	37.0	123.73031464196474	137	0.0	22806748.0
DBR_ADOOSDA_2_1_HNWVMDSX3.UDI050_clean	25.400540320893796	37.0	141.18536721725613	151	0.0	34800339.0
DBR_ADOOSDA_2_2_HNWVMDSX3.UDI050_clean	24.097605463265822	37.0	142.25849768302544	151	0.0	34800339.0
DBR_ADPOSDA_2_1_HNWVMDSX3.UDI016_clean	24.188717701696135	36.0	136.80915433279466	151	0.0	26065821.0
DBR_ADPOSDA_2_2_HNWVMDSX3.UDI016_clean	23.382807754285935	36.0	137.67638172609256	151	0.0	26065821.0
DBR_ADQOSDA_2_1_HNWVMDSX3.UDI017_clean	23.255372356328664	36.0	136.2885471304857	151	0.0	23884774.0
DBR_ADQOSDA_2_2_HNWVMDSX3.UDI017_clean	22.467692467395537	36.0	137.28304529906794	151	0.0	23884774.0
DBR_ADROSDA_2_1_HNWVMDSX3.UDI094_clean	27.86110869293846	38.0	146.7183306351786	151	0.0	45307508.0
DBR_ADROSDA_2_2_HNWVMDSX3.UDI094_clean	25.803256925624225	38.0	147.60410574777143	151	0.0	45307508.0
DBR_ADSOSDA_2_1_HNWVMDSX3.UDI051_clean	24.84638832600156	34.0	147.2592099318802	151	0.0	27051313.0
DBR_ADSOSDA_2_2_HNWVMDSX3.UDI051_clean	22.379588578801048	34.0	147.44167623212965	151	0.0	27051313.0
DBR_ADTOSDA_2_1_HNWVMDSX3.UDI052_clean	23.025948355652005	37.0	132.0046475169423	151	0.0	41598127.0
DBR_ADTOSDA_2_2_HNWVMDSX3.UDI052_clean	22.22234557014214	37.0	131.97081447921923	151	0.0	41598127.0
DBR_ADUOSDA_2_1_HNWVMDSX3.UDI053_clean	22.990921042598117	37.0	136.44950407155704	151	0.0	35749714.0
DBR_ADUOSDA_2_2_HNWVMDSX3.UDI053_clean	21.78414252583717	38.0	137.81434528399305	151	0.0	35749714.0
DBR_ADVOSDA_2_1_HNWVMDSX3.UDI010_clean	25.814451934736624	36.0	126.88633328288495	142	0.0	24705121.0
DBR_ADVOSDA_2_2_HNWVMDSX3.UDI010_clean	25.441251182116517	36.0	127.19041829424758	142	0.0	24705121.0
DBR_ADWOSDA_2_1_HNWVMDSX3.UDI018_clean	23.19253075419489	37.0	130.64900368928542	151	0.0	34568483.0
DBR_ADWOSDA_2_2_HNWVMDSX3.UDI018_clean	22.36855046079539	37.0	131.7763308560575	151	0.0	34568483.0
DBR_ADXOSDA_2_1_HNWVMDSX3.UDI054_clean	28.475428175183055	37.0	147.89618681610145	151	0.0	29943586.0
DBR_ADXOSDA_2_2_HNWVMDSX3.UDI054_clean	23.604915884865946	37.0	148.85984417497625	151	0.0	29943586.0
DBR_ADYOSDA_2_1_HNWVMDSX3.UDI055_clean	26.581084068007556	37.0	140.31310564005184	151	0.0	57436653.0
