sample_id	status	gzip_r1	gzip_r2	fastq_blocks_r1	fastq_blocks_r2	read_count_r1	read_count_r2	pair_sync	detail	r1_path	r2_path
DSW_AAAQ	PASS	OK	OK	OK	OK	28502174	28502174	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAQ_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAQ_R2.trimmed.fastq.gz
DSW_AAAR	PASS	OK	OK	OK	OK	34580701	34580701	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAR_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAR_R2.trimmed.fastq.gz
DSW_AAAT	PASS	OK	OK	OK	OK	28251408	28251408	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAT_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAT_R2.trimmed.fastq.gz
DSW_AABE	PASS	OK	OK	OK	OK	28613405	28613405	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABE_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABE_R2.trimmed.fastq.gz
DSW_AABG	PASS	OK	OK	OK	OK	40853255	40853255	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABG_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABG_R2.trimmed.fastq.gz
DSW_AABH	PASS	OK	OK	OK	OK	29295212	29295212	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABH_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABH_R2.trimmed.fastq.gz
DSW_AABI	PASS	OK	OK	OK	OK	31769428	31769428	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABI_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABI_R2.trimmed.fastq.gz
DSW_AABJ	PASS	OK	OK	OK	OK	31860716	31860716	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABJ_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABJ_R2.trimmed.fastq.gz
DSW_AABK	PASS	OK	OK	OK	OK	38051362	38051362	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABK_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABK_R2.trimmed.fastq.gz
DSW_AABL	PASS	OK	OK	OK	OK	25789570	25789570	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABL_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABL_R2.trimmed.fastq.gz
