sample_id	total_reads	mapped_reads	mapped_percent	avg_depth_q20
DBR_ACW	54361530	51907085	95.48	11.9312
DBR_ACX	61758284	59685264	96.64	13.4699
DBR_ACY	54345732	25999753	47.84	0.5949
DBR_ACZ	41642224	40881358	98.17	9.1258
DBR_ADA	52072347	51296248	98.51	10.8541
DBR_ADB	61009458	58549682	95.97	12.9739
DBR_ADC	42373988	41212226	97.26	8.8960
DBR_ADD	51926051	50604359	97.45	11.3481
DBR_ADE	39430705	38663718	98.05	8.2942
DBR_ADF	58495455	55148871	94.28	12.4167
DBR_ADG	56484177	55594405	98.42	11.8427
DBR_ADH	58657166	57951887	98.80	12.1663
DBR_ADI	76927461	73849126	96.00	16.6036
DBR_ADJ	45602818	43390038	95.15	8.7635
DBR_ADK	54905442	52715171	96.01	11.8436
DBR_ADL	63224463	61293808	96.95	12.8435
DBR_ADM	66397631	20087010	30.25	0.5520
DBR_ADN	39449025	25022945	63.43	0.4051
DBR_ADO	66473149	64198790	96.58	13.8570
DBR_ADP	49041842	48000342	97.88	10.3778
DBR_ADQ	45351767	44271437	97.62	9.3121
DBR_ADR	87481309	83584358	95.55	18.9578
DBR_ADS	52404072	14665194	27.98	0.6307
DBR_ADT	75898524	75153484	99.02	15.3263
DBR_ADU	67965575	66976264	98.54	14.0615
DBR_ADV	43407446	27699156	63.81	0.4616
DBR_ADW	63178977	62302440	98.61	12.8283
DBR_ADX	56964145	54766498	96.14	12.5024
DBR_ADY	108874453	107072173	98.34	22.7902
DBR_ADZ	90316855	88540899	98.03	18.6925
DBR_AEA	54782277	53597913	97.84	12.2633
DBR_AEB	60908509	57781762	94.87	13.2178
DBR_AEC	63476684	60896814	95.94	13.8740
DBR_AED	60623443	59568477	98.26	12.6039
DBR_AEE	66127317	65201513	98.60	13.0666
DBR_AEF	68324585	64873706	94.95	14.7790
DBR_AEG	40569655	39909306	98.37	8.7912
DBR_AEH	120935776	116371676	96.23	25.6775
DBR_AEI	68075893	66578012	97.80	14.0262
DBR_AEJ	50161495	48285143	96.26	10.8599
DBR_AEK	86021437	83690199	97.29	18.0574
DBR_AEL	53313518	51178867	96.00	11.4109
DBR_AEM	49544029	48888384	98.68	10.1141
DBR_AEN	43378979	42988624	99.10	9.2160
DBR_AEO	87290642	82309771	94.29	17.9843
DBR_AEP	66882155	65177769	97.45	14.5143
DBR_AEQ	46674623	42850623	91.81	9.6347
