id_genoscope	site	K2	K3	K4
DBR_ACW	Cacao	Pop_2	Pop_2	Pop_2
DBR_ACX	Cacao	Pop_2	Pop_2	Pop_2
DBR_ACZ	MC_87	Pop_2	Pop_3	Pop_3
DBR_ADA	MC_88	Pop_2	Pop_3	Pop_3
DBR_ADB	Cacao	Pop_2	Pop_2	Pop_2
DBR_ADC	MC_88	Pop_2	Pop_3	Pop_3
DBR_ADD	MC_88	Pop_2	Pop_3	Pop_3
DBR_ADE	MC_87	Pop_2	Pop_3	Pop_3
DBR_ADF	Regina	Pop_2	Pop_2	Pop_2
DBR_ADG	MC_88	Pop_2	Pop_3	Pop_3
DBR_ADH	Foret_Regina_St_Georges	Pop_2	Pop_3	Pop_3
DBR_ADI	St_georges	Pop_2	Pop_2	Pop_4
DBR_ADJ	Saut_Lavilette	Pop_2	Pop_3	Pop_3
DBR_ADK	Saut_Lavilette	Pop_2	Pop_3	Pop_3
DBR_ADL	Saut_Lavilette	Pop_2	Pop_3	Pop_3
DBR_ADO	MC_87	Pop_2	Pop_3	Pop_3
DBR_ADP	Saut_Lavilette	Pop_2	Pop_3	Pop_3
DBR_ADQ	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_ADR	St_georges	Pop_2	Pop_2	Pop_4
DBR_ADT	Regina	Pop_2	Pop_2	Pop_2
DBR_ADU	Foret_Regina_St_Georges	Pop_2	Pop_3	Pop_3
DBR_ADW	Foret_Regina_St_Georges	Pop_2	Pop_3	Pop_3
DBR_ADX	Apatou	Pop_1	Pop_1	Pop_1
DBR_ADY	Foret_Regina_St_Georges	Pop_2	Pop_3	Pop_3
DBR_ADZ	Saut_Lavilette	Pop_2	Pop_3	Pop_3
DBR_AEA	Apatou	Pop_1	Pop_1	Pop_1
DBR_AEB	Apatou	Pop_1	Pop_1	Pop_1
DBR_AEC	Regina	Pop_2	Pop_2	Pop_2
DBR_AED	MC_88	Pop_2	Pop_3	Pop_3
DBR_AEE	Acarouany	Pop_1	Pop_1	Pop_1
DBR_AEF	St_georges	Pop_2	Pop_2	Pop_4
DBR_AEG	MC_88	Pop_2	Pop_3	Pop_3
DBR_AEH	St_georges	Pop_2	Pop_2	Pop_4
DBR_AEI	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AEJ	Piste_St_Elie	Pop_2	Pop_2	Pop_2
DBR_AEK	Acarouany	Pop_1	Pop_1	Pop_1
DBR_AEL	Regina	Pop_2	Pop_2	Pop_2
DBR_AEM	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AEN	MC_88	Pop_2	Pop_3	Pop_3
DBR_AEO	Piste_St_Elie	Pop_2	Pop_2	Pop_2
DBR_AEP	St_georges	Pop_2	Pop_2	Pop_4
DBR_AEQ	Regina	Pop_2	Pop_2	Pop_2
DBR_AER	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AES	Foret_Regina_St_Georges	Pop_2	Pop_3	Pop_3
DBR_AET	Saut_Lavilette	Pop_2	Pop_3	Pop_3
DBR_AEU	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AEV	Cacao	Pop_2	Pop_2	Pop_2
DBR_AEW	MC_88	Pop_2	Pop_3	Pop_3
DBR_AEX	Piste_St_Elie	Pop_2	Pop_2	Pop_2
DBR_AEY	Acarouany	Pop_1	Pop_1	Pop_1
DBR_AEZ	Apatou	Pop_1	Pop_1	Pop_1
DBR_AFA	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AFB	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AFC	Foret_Regina_St_Georges	Pop_2	Pop_3	Pop_3
DBR_AFD	Piste_St_Elie	Pop_2	Pop_2	Pop_2
DBR_AFE	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AFF	Apatou	Pop_1	Pop_1	Pop_1
DBR_AFG	Cacao	Pop_2	Pop_2	Pop_2
DBR_AFH	Cacao	Pop_2	Pop_2	Pop_2
DBR_AFI	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AFJ	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AFK	MC_87	Pop_2	Pop_3	Pop_3
DBR_AFL	Apatou	Pop_1	Pop_1	Pop_1
DBR_AFM	Piste_St_Elie	Pop_2	Pop_2	Pop_2
DBR_AFN	Acarouany	Pop_1	Pop_1	Pop_1
DBR_AFO	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AFP	Acarouany	Pop_1	Pop_1	Pop_1
DBR_AFQ	Acarouany	Pop_1	Pop_1	Pop_1
DBR_AFR	Acarouany	Pop_1	Pop_1	Pop_1
DBR_AFS	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AFT	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AFU	Acarouany	Pop_1	Pop_1	Pop_1
DBR_AFV	Saut_Lavilette	Pop_2	Pop_3	Pop_3
DBR_AFW	Saut_Lavilette	Pop_2	Pop_3	Pop_3
DBR_AFX	Apatou	Pop_1	Pop_1	Pop_1
DBR_AFY	St_georges	Pop_2	Pop_2	Pop_4
DBR_AFZ	St_georges	Pop_2	Pop_2	Pop_4
DBR_AGA	Regina	Pop_2	Pop_2	Pop_2
DBR_AGB	Apatou	Pop_1	Pop_1	Pop_1
DBR_AGC	St_georges	Pop_2	Pop_2	Pop_4
DBR_AGD	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AGE	Regina	Pop_2	Pop_2	Pop_2
DBR_AGF	Foret_Regina_St_Georges	Pop_2	Pop_3	Pop_3
DBR_AGG	Piste_St_Elie	Pop_2	Pop_2	Pop_2
DBR_AGH	Nouragues_Inselberg	Pop_2	Pop_2	Pop_2
DBR_AGI	Regina	Pop_2	Pop_2	Pop_2
DSW_AAAA	Crique_Tigre	Pop_2	Pop_2	Pop_2
