sample_id,id_ecofog,project,site,sample_type,species,reference_genome,lane,read_group,read1,read2
DBR_AEE,ACAR_01,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,2,@RG\tID:DBR_AEE\tSM:DBR_AEE\tLB:G-MANAGE\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AEEOSDA_2_1_HNWVMDSX3.UDI060_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AEEOSDA_2_2_HNWVMDSX3.UDI060_clean.fastq.gz
DBR_AEK,ACAR_02,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,2,@RG\tID:DBR_AEK\tSM:DBR_AEK\tLB:G-MANAGE\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AEKOSDA_2_1_HNWVMDSX3.UDI005_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AEKOSDA_2_2_HNWVMDSX3.UDI005_clean.fastq.gz
DBR_AEY,ACAR_03,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,2,@RG\tID:DBR_AEY\tSM:DBR_AEY\tLB:G-MANAGE\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AEYOSDA_2_1_HNWVMDSX3.UDI024_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AEYOSDA_2_2_HNWVMDSX3.UDI024_clean.fastq.gz
DBR_AFN,ACAR_04,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,2,@RG\tID:DBR_AFN\tSM:DBR_AFN\tLB:G-MANAGE\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AFNOSDA_2_1_HNWVMDSX3.UDI030_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AFNOSDA_2_2_HNWVMDSX3.UDI030_clean.fastq.gz
DBR_AFP,ACAR_05,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,2,@RG\tID:DBR_AFP\tSM:DBR_AFP\tLB:G-MANAGE\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AFPOSDA_2_1_HNWVMDSX3.UDI080_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AFPOSDA_2_2_HNWVMDSX3.UDI080_clean.fastq.gz
DBR_AFQ,ACAR_06,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,2,@RG\tID:DBR_AFQ\tSM:DBR_AFQ\tLB:G-MANAGE\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AFQOSDA_2_1_HNWVMDSX3.UDI031_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AFQOSDA_2_2_HNWVMDSX3.UDI031_clean.fastq.gz
DBR_AFR,ACAR_07,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,2,@RG\tID:DBR_AFR\tSM:DBR_AFR\tLB:G-MANAGE\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AFROSDA_2_1_HNWVMDSX3.UDI032_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AFROSDA_2_2_HNWVMDSX3.UDI032_clean.fastq.gz
DBR_AFU,ACAR_08,G-MANAGE,Acarouany,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,2,@RG\tID:DBR_AFU\tSM:DBR_AFU\tLB:G-MANAGE\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AFUOSDA_2_1_HNWVMDSX3.UDI082_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AFUOSDA_2_2_HNWVMDSX3.UDI082_clean.fastq.gz
DBR_AEB,APAT_01,G-MANAGE,Apatou,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,2,@RG\tID:DBR_AEB\tSM:DBR_AEB\tLB:G-MANAGE\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AEBOSDA_2_1_HNWVMDSX3.UDI057_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AEBOSDA_2_2_HNWVMDSX3.UDI057_clean.fastq.gz
DBR_AEZ,APAT_02,G-MANAGE,Apatou,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,2,@RG\tID:DBR_AEZ\tSM:DBR_AEZ\tLB:G-MANAGE\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AEZOSDA_2_1_HNWVMDSX3.UDI072_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/G-MANAGE/DBR_AEZOSDA_2_2_HNWVMDSX3.UDI072_clean.fastq.gz
